TimeStep,Iteration,Time,T_Node_0,T_Node_1,T_Node_2,T_Node_3,T_Node_4,T_Node_5,T_Node_6,T_Node_7,T_Node_8,T_Node_9,T_Node_10,T_Node_11,T_Node_12,T_Node_13,T_Node_14,T_Node_15,T_Node_16,T_Node_17,T_Node_18,T_Node_19
0,0,0.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
1,0,0.05237142857142857,100.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
2,0,0.10474285714285714,150.43367346938777,30.816326530612244,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
3,0,0.1571142857142857,184.29348918095292,40.17964185360242,25.41845059809774,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
4,0,0.20948571428571428,207.20551018712646,51.36967213484863,26.46312206116832,25.029904954271455,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
5,0,0.26185714285714284,222.9559280262322,63.228609318065224,28.19982611311368,25.130332185214122,25.002136148008034,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
6,0,0.3142285714285714,234.04067903830446,75.02781081601353,30.606732574866882,25.341332831074492,25.011141941407825,25.000152582407992,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
7,0,0.3666,242.0832672071905,86.34060942519194,33.61229589360874,25.69661752373556,25.033952427068076,25.000926648958718,25.000010898745504,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
8,0,0.41897142857142855,248.12908823483593,96.94337913296113,37.1209583370874,26.221171129015033,25.078969754102076,25.00322032514818,25.000075531069843,25.000000778481834,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
9,0,0.4713428571428571,252.8464899610279,106.74328520118752,41.02997991251006,26.930851462699163,25.155276762540144,25.00840692540211,25.00029482067264,25.00000606234707,25.000000055605845,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
10,0,0.5237142857142857,256.66130431731176,115.7276009101262,45.239842680307255,27.833079277138296,25.27194077607899,25.018320331792765,25.00085363742488,25.00002625889656,25.000000480686946,25.00000000397184,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
11,0,0.5760857142857143,259.84522844923646,123.92945745261154,49.660108451971865,28.92806012058123,25.437465090162423,25.035194997935786,25.002042189821562,25.00008351612712,25.000002287936617,25.000000037739216,25.000000000283706,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
12,0,0.6284571428571428,262.57291024108963,131.40557226283244,54.21218549518151,30.21019530668468,25.659398599191462,25.061577377267362,25.004270452129067,25.000217619748526,25.00000792922246,25.00000019579221,25.000000002938833,25.000000000020265,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
13,0,0.6808285714285713,264.95826121938103,138.22236251613592,58.8301000491935,31.669480554971464,25.944090029538835,25.100223664056436,25.008074651175342,25.00049213150081,25.000022354733524,25.00000073440485,25.000000016505606,25.000000000227285,25.00000000000145,25.0,25.0,25.0,25.0,25.0,25.0,25.0
14,0,0.7332,267.0772538203207,144.44771170942204,63.46006342764313,33.29278233653248,26.29656298443849,25.15399548677955,25.014116000122918,25.001000190343788,25.000054365929245,25.00000222743557,25.000000066621386,25.00000000137389,25.000000000017476,25.0000000000001,25.0,25.0,25.0,25.0,25.0,25.0
15,0,0.7855714285714286,268.98208167331063,150.1464134147444,68.05938039516579,35.06494006459101,26.72048549885827,25.225761772202773,25.023172630048972,25.001869492625264,25.000118200726668,25.00000579727008,25.00000021630472,25.00000000593754,25.00000000011312,25.000000000001332,25.00000000000001,25.0,25.0,25.0,25.0,25.0
16,0,0.8379428571428571,270.70988726927897,155.3779220624022,72.59505852041875,36.969678092996,27.218209333332094,25.318311967229693,25.03612608463265,25.003266100339797,25.00023526449637,25.000013427449268,25.00000059991888,25.000000020547738,25.000000000521162,25.000000000009223,25.000000000000103,25.000000000000004,25.0,25.0,25.0,25.0
17,0,0.8903142857142856,272.28811878266765,160.19549417797708,77.0423438755391,38.99033257292516,27.79085758077129,25.434283376366878,25.053943889418395,25.00539686842281,25.00043590821011,25.00002835670537,25.000001474787414,25.000000060500923,25.000000001915062,25.00000000004514,25.000000000000746,25.000000000000014,25.0,25.0,25.0,25.0
18,0,0.9426857142857142,273.73781897082137,164.6461262791534,81.38331541967442,41.11040969769666,28.43844305594603,25.576103567562082,25.077659667584825,25.008510413098193,25.00076115425593,25.000055547406966,25.000003293904022,25.000000157336682,25.0000000059662,25.000000000175536,25.000000000003865,25.000000000000068,25.000000000000004,25.0,25.0,25.0
19,0,0.9950571428571429,275.0756567142487,168.77091645360684,85.60560839108403,43.31399720544347,29.16000371812179,25.745947548714355,25.108352120070204,25.012896652638542,25.001264278618926,25.00010221555429,25.000006802256838,25.00000037056503,25.00000001636476,25.000000000576893,25.000000000015856,25.000000000000334,25.00000000000001,25.0,25.0,25.0
20,0,1.0474285714285714,276.3151986245244,172.60562292537776,89.70129727636534,45.58605253910294,29.953744734104596,25.945708617751272,25.147123974544087,25.0188850350294,25.002012172538507,25.000178404964227,25.000013158086738,25.000000804671572,25.00000004053707,25.000000001664525,25.000000000054822,25.00000000000142,25.000000000000036,25.000000000000004,25.0,25.0
21,0,1.0997999999999999,277.46772240762584,176.1812871675324,93.66594457888843,47.912590333973384,30.817179614144333,26.176981334095906,25.195081774575815,25.026841623887712,25.003086424726543,25.000297585369832,25.000024079051144,25.00000163247735,25.000000092341494,25.000000004326157,25.00000000016599,25.000000000005137,25.00000000000013,25.000000000000007,25.0,25.0
22,0,1.1521714285714286,278.5427531580167,179.5248482705132,97.49780760637108,50.280789934678324,31.74726514564786,26.44105485354994,25.25331715345385,25.037165247170453,25.004584084488698,25.00047725285018,25.00004201189787,25.000003125794397,25.000000196064388,25.000000010315812,25.000000000451656,25.000000000016268,25.00000000000048,25.000000000000018,25.000000000000004,25.0
23,0,1.2045428571428571,279.5484305568482,182.65971139748996,101.19718823348961,52.67904109325667,32.7405266587058,26.73891483416512,25.322890031920284,25.050282926669407,25.00661808486791,25.00073951116348,25.000070322978523,25.000005694106942,25.000000392063065,25.000000022878986,25.00000000112514,25.00000000004624,25.000000000001577,25.00000000000005,25.000000000000007,25.0
24,0,1.2569142857142857,280.4917710185733,185.6062545236721,104.76590757553778,55.09694328026712,33.79317155123093,27.071252197193203,25.404814003359782,25.06664480439962,25.009317321983566,25.001111613942548,25.00011350583457,25.000009931737928,25.000000744410197,25.000000047695433,25.000000002601922,25.000000000120114,25.000000000004658,25.000000000000156,25.000000000000014,25.0
25,0,1.3092857142857142,281.37886275125675,188.38226977472544,108.2068870504493,57.52527139833578,34.90119005070501,27.438477169970827,25.500044026202797,25.086718768978955,25.01282640130552,25.00162645004074,25.00017740122913,25.000016673651125,25.000001350882563,25.00000009423981,25.000000005645614,25.000000000289138,25.000000000012584,25.00000000000047,25.000000000000025,25.000000000000004
26,0,1.3616571428571427,282.21501635696376,191.00334213366375,111.52381829947029,59.95591826023839,36.06044295944873,27.84073721475641,25.609466430588377,25.110984964711076,25.01730507330387,25.00232295729236,25.000269424404983,25.0000270597117,25.000002355605858,25.000000177671847,25.000000011591162,25.00000000065199,25.00000000003147,25.0000000000013,25.000000000000053,25.000000000000007
