Index,Temperature
0,4.173748012316
1,4.164820541169
2,4.137923277616
3,4.092715992238
4,4.028646341908
5,3.944972956701
6,3.840799698016
7,3.715122726906
8,3.566892022494
9,3.395088579063
10,3.198817555149
11,2.977416036891
12,2.730571766467
13,2.458446262909
14,2.161792521418
15,1.842054474168
16,1.501433443222
17,1.142906871292
18,0.770187523600
19,0.387617472644
20,8.365350966924
21,8.347610874745
22,8.294156577055
23,8.204294349427
24,8.076896418693
25,7.910445786880
26,7.703103108458
27,7.452799187115
28,7.157356784007
29,6.814644738611
30,6.422765604642
31,5.980274825948
32,5.486424766069
33,4.941420763749
34,4.346669348595
35,3.704991932032
36,3.020772427429
37,2.300006518344
38,1.550225750466
39,0.780282366975
40,12.592434105890
41,12.566115413833
42,12.486797806433
43,12.353408409724
44,12.164199196555
45,11.916810663669
46,11.608367761821
47,11.235614129088
48,10.795091187808
49,10.283367986730
50,9.697325298860
51,9.034492896190
52,8.293431708112
53,7.474142677423
54,6.578472177182
55,5.610471477937
56,4.576657816116
57,3.486121024190
58,2.350426592943
59,1.183286244791
60,16.872154628969
61,16.837618868265
62,16.733510825118
63,16.558342286482
64,16.309681294134
65,15.984229909420
66,15.577943146068
67,15.086198379608
68,14.504025851406
69,13.826410721643
70,13.048674707877
71,12.166939751840
72,11.178666492766
73,10.083246060650
74,8.882605204773
75,7.581763986417
76,6.189266334908
77,4.717393169357
78,3.182073352326
79,1.602436019245
80,21.220946673454
81,21.178694605142
82,21.051284339291
83,20.836768616951
84,20.531953784080
85,20.132484533808
86,19.632976533422
87,19.027210391872
88,18.308403116565
89,17.469574340559
90,16.504023059163
91,15.405924910528
92,14.171048450462
93,12.797569867638
94,11.286938594843
95,9.644712928051
96,7.881250367743
97,6.012111966003
98,4.058037627759
99,2.044384479863
100,25.654242854563
101,25.604928539557
102,25.456163309954
103,25.205494057952
104,24.848880691428
105,24.380777908309
106,23.794268061941
107,23.081263537894
108,22.232801882421
109,21.239460464866
110,20.091918277689
111,18.781688380647
112,17.302032530917
113,15.649046364595
114,13.822866378909
115,11.828898763200
116,9.678910242011
117,7.391766699154
118,4.993580712844
119,2.517064272449
120,30.186167665682
121,30.130613388572
122,29.962946303014
123,29.680163613474
124,29.277297015370
125,28.747478346060
126,28.082054268138
127,27.270773815343
128,26.302080410357
129,25.163547358795
130,23.842501206082
131,22.326877803453
132,20.606346927963
133,18.673716680916
134,16.526581793000
135,14.169105503831
136,11.613725137944
137,8.882463875760
138,6.007454252012
139,3.030291897090
140,34.829201031021
141,34.768411046034
142,34.584844900055
143,34.274917077563
144,33.832665410517
145,33.249784192422
146,32.515696849210
147,31.617697044982
148,30.541198584872
149,29.270147353874
150,27.787661384389
151,26.076974699122
152,24.122760696567
153,21.912891638108
154,19.440638608342
155,16.707216321178
156,13.724420930177
157,10.516909413928
158,7.123480522354
159,3.596649063898
160,39.593814366334
161,39.528984864488
162,39.333105173611
163,39.001994386204
164,38.528663356713
165,37.903296163902
166,37.113251891298
167,36.143118930502
168,34.974869530274
169,33.588182087440
170,31.961022278478
171,30.070598912078
172,27.894829521074
173,25.414450566606
174,22.615864681081
175,19.494700242364
176,16.059832847655
177,12.337272327423
178,8.372909359579
179,4.232823836147
180,44.488086705339
181,44.420608871972
182,44.216596543698
183,43.871291936929
184,43.376697466228
185,42.721485215174
186,41.890895621579
187,40.866657255453
188,39.626978518282
189,38.146689187134
190,36.397646730007
191,34.349569149637
192,31.971507909046
193,29.234216426160
194,26.113669307014
195,22.595887119541
196,18.682937890657
197,14.399437688530
