Index,Temperature
0,8.351353036505
1,8.280808404496
2,8.065560860093
3,7.695274848367
4,7.154551435649
5,6.426116248735
6,5.495960116385
7,4.360497616016
8,3.034789773078
9,1.559170382722
10,16.843795337028
11,16.706319721387
12,16.286160187510
13,15.560987097725
14,14.496814645493
15,13.053953442908
16,11.197226600788
17,8.911240574602
18,6.219491093574
19,3.201891757811
20,25.611188868831
21,25.414514956515
22,24.811773070834
23,23.765698709529
24,22.217766605692
25,20.095656276615
26,17.327752269256
27,13.867746988028
28,9.730042268806
29,5.028905554947
30,34.771930225267
31,34.528778165009
32,33.780718429780
33,32.472268063866
34,30.512896791130
35,27.783152788603
36,24.150379211595
37,19.501952839450
38,13.804025438674
39,7.183688193172
40,44.418975702217
41,44.147949048475
42,43.310054419412
43,41.829758325025
44,39.578399706359
45,36.373678875071
46,31.988658949070
47,26.185659719503
48,18.800418453266
49,9.901821779068
50,54.608074486652
51,54.333987907261
52,53.481791874369
53,51.958311110463
54,49.597264834208
55,46.144504056255
56,41.244917990112
57,34.451608636225
58,25.310166875821
59,13.623180469834
60,65.345346429870
61,65.098136219547
62,64.324814060339
63,62.924429408252
64,60.707844463756
65,57.362154525627
66,52.394900318897
67,45.065689959465
68,34.365459943958
69,19.280733224446
70,76.577038793735
71,76.388396480718
72,75.794898739189
73,74.706747998448
74,72.947529086938
75,70.201369263600
76,65.906838800382
77,59.050790938781
78,47.805249716101
79,29.134292483991
80,88.186015783634
81,88.083512170401
82,87.759636417250
83,87.160134759412
84,86.174154621950
85,84.588954641451
86,81.980294680252
87,77.425385279177
88,68.670455497673
89,49.451186995416
