# Solver: GS
# RadialSteps: 20
# AngularSteps: 50
# DeltaR: 2.450000000000e-03
# DeltaTheta: 1.256637061436e-01
# Tolerance: 1.000000000000e-10
# MaximumIterations: 250000
# Iterations: 201728
# Converged: True
# ResidualNorm: 1.443336748173e-05
# UnifiedIndex	RadialIndex	AngularIndex	Radius	Theta	X	Y	Temperature
28	0	28	1.000000000000e-03	3.518583772021e+00	-9.297764858883e-04	-3.681245526847e-04	5.042205052300e+01
29	0	29	1.000000000000e-03	3.644247478164e+00	-8.763066800439e-04	-4.817536741017e-04	5.041927885866e+01
30	0	30	1.000000000000e-03	3.769911184308e+00	-8.090169943749e-04	-5.877852522925e-04	5.041669797130e+01
31	0	31	1.000000000000e-03	3.895574890451e+00	-7.289686274214e-04	-6.845471059287e-04	5.041434731052e+01
32	0	32	1.000000000000e-03	4.021238596595e+00	-6.374239897487e-04	-7.705132427758e-04	5.041226258903e+01
33	0	33	1.000000000000e-03	4.146902302739e+00	-5.358267949790e-04	-8.443279255020e-04	5.041047530499e+01
34	0	34	1.000000000000e-03	4.272566008882e+00	-4.257792915651e-04	-9.048270524660e-04	5.040901233184e+01
35	0	35	1.000000000000e-03	4.398229715026e+00	-3.090169943749e-04	-9.510565162952e-04	5.040789557671e+01
36	0	36	1.000000000000e-03	4.523893421169e+00	-1.873813145857e-04	-9.822872507287e-04	5.040714170776e+01
37	0	37	1.000000000000e-03	4.649557127313e+00	-6.279051952931e-05	-9.980267284283e-04	5.040676195011e+01
38	0	38	1.000000000000e-03	4.775220833456e+00	6.279051952931e-05	-9.980267284283e-04	5.040676195022e+01
39	0	39	1.000000000000e-03	4.900884539600e+00	1.873813145857e-04	-9.822872507287e-04	5.040714170807e+01
40	0	40	1.000000000000e-03	5.026548245744e+00	3.090169943749e-04	-9.510565162952e-04	5.040789557723e+01
41	0	41	1.000000000000e-03	5.152211951887e+00	4.257792915651e-04	-9.048270524660e-04	5.040901233257e+01
42	0	42	1.000000000000e-03	5.277875658031e+00	5.358267949790e-04	-8.443279255020e-04	5.041047530593e+01
43	0	43	1.000000000000e-03	5.403539364174e+00	6.374239897487e-04	-7.705132427758e-04	5.041226259018e+01
44	0	44	1.000000000000e-03	5.529203070318e+00	7.289686274214e-04	-6.845471059287e-04	5.041434731187e+01
45	0	45	1.000000000000e-03	5.654866776462e+00	8.090169943749e-04	-5.877852522925e-04	5.041669797286e+01
46	0	46	1.000000000000e-03	5.780530482605e+00	8.763066800439e-04	-4.817536741017e-04	5.041927886043e+01
47	0	47	1.000000000000e-03	5.906194188749e+00	9.297764858883e-04	-3.681245526847e-04	5.042205052498e+01
48	0	48	1.000000000000e-03	6.031857894892e+00	9.685831611286e-04	-2.486898871649e-04	5.042497032311e+01
49	0	49	1.000000000000e-03	6.157521601036e+00	9.921147013145e-04	-1.253332335643e-04	5.042799302265e+01
50	1	0	3.450000000000e-03	0.000000000000e+00	3.450000000000e-03	0.000000000000e+00	5.042967228739e+01
51	1	1	3.450000000000e-03	1.256637061436e-01	3.422795719535e-03	4.323996557968e-04	5.044204023962e+01
52	1	2	3.450000000000e-03	2.513274122872e-01	3.341611905894e-03	8.579801107187e-04	5.045430640089e+01
53	1	3	3.450000000000e-03	3.769911184308e-01	3.207728876314e-03	1.270029706762e-03	5.046627065973e+01
54	1	4	3.450000000000e-03	5.026548245744e-01	3.023258046151e-03	1.662050175651e-03	5.047773370511e+01
55	1	5	3.450000000000e-03	6.283185307180e-01	2.791108630594e-03	2.027859120409e-03	5.048850085873e+01
56	1	6	3.450000000000e-03	7.539822368616e-01	2.514941764604e-03	2.361687515454e-03	5.049838604012e+01
57	1	7	3.450000000000e-03	8.796459430051e-01	2.199112764633e-03	2.658270687576e-03	5.050721574048e+01
58	1	8	3.450000000000e-03	1.005309649149e+00	1.848602442678e-03	2.912931342982e-03	5.051483287315e+01
59	1	9	3.450000000000e-03	1.130973355292e+00	1.468938555900e-03	3.121653331008e-03	5.052110036835e+01
60	1	10	3.450000000000e-03	1.256637061436e+00	1.066108630594e-03	3.281144981218e-03	5.052590438640e+01
61	1	11	3.450000000000e-03	1.382300767580e+00	6.464655353207e-04	3.388891015014e-03	5.052915703585e+01
62	1	12	3.450000000000e-03	1.507964473723e+00	2.166272923761e-04	3.443192213078e-03	5.053079850054e+01
63	1	13	3.450000000000e-03	1.633628179867e+00	-2.166272923761e-04	3.443192213078e-03	5.053079850064e+01
64	1	14	3.450000000000e-03	1.759291886010e+00	-6.464655353208e-04	3.388891015014e-03	5.052915703615e+01
65	1	15	3.450000000000e-03	1.884955592154e+00	-1.066108630594e-03	3.281144981218e-03	5.052590438691e+01
66	1	16	3.450000000000e-03	2.010619298297e+00	-1.468938555900e-03	3.121653331008e-03	5.052110036907e+01
67	1	17	3.450000000000e-03	2.136283004441e+00	-1.848602442678e-03	2.912931342982e-03	5.051483287407e+01
68	1	18	3.450000000000e-03	2.261946710585e+00	-2.199112764633e-03	2.658270687576e-03	5.050721574162e+01
69	1	19	3.450000000000e-03	2.387610416728e+00	-2.514941764604e-03	2.361687515454e-03	5.049838604146e+01
70	1	20	3.450000000000e-03	2.513274122872e+00	-2.791108630594e-03	2.027859120409e-03	5.048850086027e+01
71	1	21	3.450000000000e-03	2.638937829015e+00	-3.023258046151e-03	1.662050175651e-03	5.047773370687e+01
72	1	22	3.450000000000e-03	2.764601535159e+00	-3.207728876314e-03	1.270029706762e-03	5.046627066169e+01
73	1	23	3.450000000000e-03	2.890265241303e+00	-3.341611905894e-03	8.579801107187e-04	5.045430640306e+01
74	1	24	3.450000000000e-03	3.015928947446e+00	-3.422795719535e-03	4.323996557968e-04	5.044204024199e+01
75	1	25	3.450000000000e-03	3.141592653590e+00	-3.450000000000e-03	-1.109604628277e-18	5.042967228997e+01
76	1	26	3.450000000000e-03	3.267256359733e+00	-3.422795719535e-03	-4.323996557968e-04	5.041739986872e+01
77	1	27	3.450000000000e-03	3.392920065877e+00	-3.341611905894e-03	-8.579801107187e-04	5.040541424992e+01
78	1	28	3.450000000000e-03	3.518583772021e+00	-3.207728876314e-03	-1.270029706762e-03	5.039389778716e+01
79	1	29	3.450000000000e-03	3.644247478164e+00	-3.023258046151e-03	-1.662050175651e-03	5.038302147441e+01
80	1	30	3.450000000000e-03	3.769911184308e+00	-2.791108630594e-03	-2.027859120409e-03	5.037294293839e+01
81	1	31	3.450000000000e-03	3.895574890451e+00	-2.514941764604e-03	-2.361687515454e-03	5.036380484762e+01
82	1	32	3.450000000000e-03	4.021238596595e+00	-2.199112764633e-03	-2.658270687576e-03	5.035573370167e+01
83	1	33	3.450000000000e-03	4.146902302739e+00	-1.848602442678e-03	-2.912931342982e-03	5.034883895031e+01
84	1	34	3.450000000000e-03	4.272566008882e+00	-1.468938555899e-03	-3.121653331008e-03	5.034321238484e+01
85	1	35	3.450000000000e-03	4.398229715026e+00	-1.066108630594e-03	-3.281144981218e-03	5.033892774203e+01
86	1	36	3.450000000000e-03	4.523893421169e+00	-6.464655353208e-04	-3.388891015014e-03	5.033604046403e+01
87	1	37	3.450000000000e-03	4.649557127313e+00	-2.166272923761e-04	-3.443192213078e-03	5.033458756502e+01
88	1	38	3.450000000000e-03	4.775220833456e+00	2.166272923761e-04	-3.443192213078e-03	5.033458756512e+01
89	1	39	3.450000000000e-03	4.900884539600e+00	6.464655353208e-04	-3.388891015014e-03	5.033604046434e+01
90	1	40	3.450000000000e-03	5.026548245744e+00	1.066108630594e-03	-3.281144981218e-03	5.033892774254e+01
91	1	41	3.450000000000e-03	5.152211951887e+00	1.468938555900e-03	-3.121653331008e-03	5.034321238556e+01
92	1	42	3.450000000000e-03	5.277875658031e+00	1.848602442678e-03	-2.912931342982e-03	5.034883895123e+01
93	1	43	3.450000000000e-03	5.403539364174e+00	2.199112764633e-03	-2.658270687576e-03	5.035573370281e+01
94	1	44	3.450000000000e-03	5.529203070318e+00	2.514941764604e-03	-2.361687515454e-03	5.036380484896e+01
95	1	45	3.450000000000e-03	5.654866776462e+00	2.791108630594e-03	-2.027859120409e-03	5.037294293993e+01
96	1	46	3.450000000000e-03	5.780530482605e+00	3.023258046151e-03	-1.662050175651e-03	5.038302147616e+01
97	1	47	3.450000000000e-03	5.906194188749e+00	3.207728876314e-03	-1.270029706762e-03	5.039389778911e+01
98	1	48	3.450000000000e-03	6.031857894892e+00	3.341611905894e-03	-8.579801107187e-04	5.040541425208e+01
99	1	49	3.450000000000e-03	6.157521601036e+00	3.422795719535e-03	-4.323996557968e-04	5.041739987109e+01
100	2	0	5.900000000000e-03	0.000000000000e+00	5.900000000000e-03	0.000000000000e+00	5.042675508594e+01
101	2	1	5.900000000000e-03	1.256637061436e-01	5.853476737755e-03	7.394660780294e-04	5.044819110327e+01
102	2	2	5.900000000000e-03	2.513274122872e-01	5.714640650659e-03	1.467270334273e-03	5.046956236912e+01
103	2	3	5.900000000000e-03	3.769911184308e-01	5.485681266741e-03	2.171934860840e-03	5.049051201266e+01
104	2	4	5.900000000000e-03	5.026548245744e-01	5.170209412259e-03	2.842346677200e-03	5.051067810960e+01
105	2	5	5.900000000000e-03	6.283185307180e-01	4.773200266812e-03	3.467932988526e-03	5.052970153092e+01
106	2	6	5.900000000000e-03	7.539822368616e-01	4.300914901786e-03	4.038827924979e-03	5.054723434840e+01
107	2	7	5.900000000000e-03	8.796459430051e-01	3.760801539517e-03	4.546028132377e-03	5.056294845152e+01
108	2	8	5.900000000000e-03	1.005309649149e+00	3.161378090376e-03	4.981534760462e-03	5.057654401483e+01
109	2	9	5.900000000000e-03	1.130973355292e+00	2.512097820234e-03	5.338479609550e-03	5.058775746528e+01
110	2	10	5.900000000000e-03	1.256637061436e+00	1.823200266812e-03	5.611233446141e-03	5.059636863024e+01
111	2	11	5.900000000000e-03	1.382300767580e+00	1.105549756056e-03	5.795494779299e-03	5.060220679070e+01
112	2	12	5.900000000000e-03	1.507964473723e+00	3.704640652229e-04	5.888357697727e-03	5.060515541664e+01
113	2	13	5.900000000000e-03	1.633628179867e+00	-3.704640652229e-04	5.888357697727e-03	5.060515541674e+01
114	2	14	5.900000000000e-03	1.759291886010e+00	-1.105549756056e-03	5.795494779299e-03	5.060220679100e+01
115	2	15	5.900000000000e-03	1.884955592154e+00	-1.823200266812e-03	5.611233446141e-03	5.059636863075e+01
116	2	16	5.900000000000e-03	2.010619298297e+00	-2.512097820234e-03	5.338479609550e-03	5.058775746600e+01
117	2	17	5.900000000000e-03	2.136283004441e+00	-3.161378090376e-03	4.981534760462e-03	5.057654401575e+01
118	2	18	5.900000000000e-03	2.261946710585e+00	-3.760801539517e-03	4.546028132377e-03	5.056294845265e+01
119	2	19	5.900000000000e-03	2.387610416728e+00	-4.300914901786e-03	4.038827924979e-03	5.054723434973e+01
120	2	20	5.900000000000e-03	2.513274122872e+00	-4.773200266812e-03	3.467932988526e-03	5.052970153245e+01
121	2	21	5.900000000000e-03	2.638937829015e+00	-5.170209412259e-03	2.842346677200e-03	5.051067811134e+01
122	2	22	5.900000000000e-03	2.764601535159e+00	-5.485681266741e-03	2.171934860840e-03	5.049051201461e+01
123	2	23	5.900000000000e-03	2.890265241303e+00	-5.714640650659e-03	1.467270334273e-03	5.046956237127e+01
124	2	24	5.900000000000e-03	3.015928947446e+00	-5.853476737755e-03	7.394660780294e-04	5.044819110563e+01
125	2	25	5.900000000000e-03	3.141592653590e+00	-5.900000000000e-03	-1.897584726618e-18	5.042675508849e+01
126	2	26	5.900000000000e-03	3.267256359733e+00	-5.853476737755e-03	-7.394660780294e-04	5.040559914580e+01
127	2	27	5.900000000000e-03	3.392920065877e+00	-5.714640650659e-03	-1.467270334273e-03	5.038505015227e+01
128	2	28	5.900000000000e-03	3.518583772021e+00	-5.485681266741e-03	-2.171934860840e-03	5.036541234462e+01
129	2	29	5.900000000000e-03	3.644247478164e+00	-5.170209412259e-03	-2.842346677200e-03	5.034696388690e+01
130	2	30	5.900000000000e-03	3.769911184308e+00	-4.773200266812e-03	-3.467932988526e-03	5.032995462469e+01
131	2	31	5.900000000000e-03	3.895574890451e+00	-4.300914901786e-03	-4.038827924979e-03	5.031460488672e+01
132	2	32	5.900000000000e-03	4.021238596595e+00	-3.760801539517e-03	-4.546028132377e-03	5.030110514001e+01
133	2	33	5.900000000000e-03	4.146902302739e+00	-3.161378090376e-03	-4.981534760462e-03	5.028961627896e+01
134	2	34	5.900000000000e-03	4.272566008882e+00	-2.512097820234e-03	-5.338479609550e-03	5.028027032689e+01
135	2	35	5.900000000000e-03	4.398229715026e+00	-1.823200266812e-03	-5.611233446141e-03	5.027317134523e+01
136	2	36	5.900000000000e-03	4.523893421169e+00	-1.105549756056e-03	-5.795494779299e-03	5.026839637337e+01
137	2	37	5.900000000000e-03	4.649557127313e+00	-3.704640652229e-04	-5.888357697727e-03	5.026599625671e+01
138	2	38	5.900000000000e-03	4.775220833456e+00	3.704640652230e-04	-5.888357697727e-03	5.026599625681e+01
139	2	39	5.900000000000e-03	4.900884539600e+00	1.105549756056e-03	-5.795494779299e-03	5.026839637367e+01
140	2	40	5.900000000000e-03	5.026548245744e+00	1.823200266812e-03	-5.611233446141e-03	5.027317134574e+01
141	2	41	5.900000000000e-03	5.152211951887e+00	2.512097820234e-03	-5.338479609550e-03	5.028027032761e+01
142	2	42	5.900000000000e-03	5.277875658031e+00	3.161378090376e-03	-4.981534760462e-03	5.028961627988e+01
143	2	43	5.900000000000e-03	5.403539364174e+00	3.760801539517e-03	-4.546028132377e-03	5.030110514114e+01
144	2	44	5.900000000000e-03	5.529203070318e+00	4.300914901786e-03	-4.038827924979e-03	5.031460488805e+01
145	2	45	5.900000000000e-03	5.654866776462e+00	4.773200266812e-03	-3.467932988526e-03	5.032995462623e+01
146	2	46	5.900000000000e-03	5.780530482605e+00	5.170209412259e-03	-2.842346677200e-03	5.034696388864e+01
147	2	47	5.900000000000e-03	5.906194188749e+00	5.485681266741e-03	-2.171934860840e-03	5.036541234656e+01
148	2	48	5.900000000000e-03	6.031857894892e+00	5.714640650659e-03	-1.467270334273e-03	5.038505015442e+01
149	2	49	5.900000000000e-03	6.157521601036e+00	5.853476737755e-03	-7.394660780294e-04	5.040559914815e+01
150	3	0	8.350000000000e-03	0.000000000000e+00	8.350000000000e-03	0.000000000000e+00	5.042230854612e+01
151	3	1	8.350000000000e-03	1.256637061436e-01	8.284157755976e-03	1.046532500262e-03	5.045281248233e+01
152	3	2	8.350000000000e-03	2.513274122872e-01	8.087669395424e-03	2.076560557827e-03	5.048338488280e+01
153	3	3	8.350000000000e-03	3.769911184308e-01	7.763633657167e-03	3.073840014917e-03	5.051350280259e+01
154	3	4	8.350000000000e-03	5.026548245744e-01	7.317160778366e-03	4.022643178749e-03	5.054262665013e+01
155	3	5	8.350000000000e-03	6.283185307180e-01	6.755291903031e-03	4.908006856642e-03	5.057021338886e+01
156	3	6	8.350000000000e-03	7.539822368616e-01	6.086888038969e-03	5.715968334505e-03	5.059573097972e+01
157	3	7	8.350000000000e-03	8.796459430051e-01	5.322490314402e-03	6.433785577178e-03	5.061867330827e+01
158	3	8	8.350000000000e-03	1.005309649149e+00	4.474153738075e-03	7.050138177942e-03	5.063857484917e+01
159	3	9	8.350000000000e-03	1.130973355292e+00	3.555257084568e-03	7.555305888091e-03	5.065502439213e+01
160	3	10	8.350000000000e-03	1.256637061436e+00	2.580291903031e-03	7.941321911065e-03	5.066767726034e+01
161	3	11	8.350000000000e-03	1.382300767580e+00	1.564633976791e-03	8.202098543585e-03	5.067626557018e+01
162	3	12	8.350000000000e-03	1.507964473723e+00	5.243008380698e-04	8.333523182376e-03	5.068060619468e+01
163	3	13	8.350000000000e-03	1.633628179867e+00	-5.243008380698e-04	8.333523182376e-03	5.068060619478e+01
164	3	14	8.350000000000e-03	1.759291886010e+00	-1.564633976791e-03	8.202098543585e-03	5.067626557049e+01
165	3	15	8.350000000000e-03	1.884955592154e+00	-2.580291903031e-03	7.941321911065e-03	5.066767726085e+01
166	3	16	8.350000000000e-03	2.010619298297e+00	-3.555257084568e-03	7.555305888091e-03	5.065502439284e+01
167	3	17	8.350000000000e-03	2.136283004441e+00	-4.474153738075e-03	7.050138177942e-03	5.063857485009e+01
168	3	18	8.350000000000e-03	2.261946710585e+00	-5.322490314402e-03	6.433785577178e-03	5.061867330939e+01
169	3	19	8.350000000000e-03	2.387610416728e+00	-6.086888038969e-03	5.715968334505e-03	5.059573098104e+01
170	3	20	8.350000000000e-03	2.513274122872e+00	-6.755291903031e-03	4.908006856642e-03	5.057021339039e+01
171	3	21	8.350000000000e-03	2.638937829015e+00	-7.317160778366e-03	4.022643178749e-03	5.054262665186e+01
172	3	22	8.350000000000e-03	2.764601535159e+00	-7.763633657167e-03	3.073840014917e-03	5.051350280453e+01
173	3	23	8.350000000000e-03	2.890265241303e+00	-8.087669395424e-03	2.076560557827e-03	5.048338488493e+01
174	3	24	8.350000000000e-03	3.015928947446e+00	-8.284157755976e-03	1.046532500262e-03	5.045281248467e+01
175	3	25	8.350000000000e-03	3.141592653590e+00	-8.350000000000e-03	-2.685564824960e-18	5.042230854867e+01
176	3	26	8.350000000000e-03	3.267256359733e+00	-8.284157755976e-03	-1.046532500262e-03	5.039236809260e+01
177	3	27	8.350000000000e-03	3.392920065877e+00	-8.087669395424e-03	-2.076560557827e-03	5.036344934497e+01
178	3	28	8.350000000000e-03	3.518583772021e+00	-7.763633657167e-03	-3.073840014917e-03	5.033596757178e+01
179	3	29	8.350000000000e-03	3.644247478164e+00	-7.317160778366e-03	-4.022643178749e-03	5.031029156302e+01
180	3	30	8.350000000000e-03	3.769911184308e+00	-6.755291903031e-03	-4.908006856642e-03	5.028674250861e+01
181	3	31	8.350000000000e-03	3.895574890451e+00	-6.086888038969e-03	-5.715968334505e-03	5.026559481148e+01
182	3	32	8.350000000000e-03	4.021238596595e+00	-5.322490314402e-03	-6.433785577178e-03	5.024707829668e+01
183	3	33	8.350000000000e-03	4.146902302739e+00	-4.474153738075e-03	-7.050138177942e-03	5.023138126957e+01
184	3	34	8.350000000000e-03	4.272566008882e+00	-3.555257084568e-03	-7.555305888091e-03	5.021865393056e+01
185	3	35	8.350000000000e-03	4.398229715026e+00	-2.580291903031e-03	-7.941321911065e-03	5.020901173970e+01
186	3	36	8.350000000000e-03	4.523893421169e+00	-1.564633976791e-03	-8.202098543585e-03	5.020253841976e+01
187	3	37	8.350000000000e-03	4.649557127313e+00	-5.243008380698e-04	-8.333523182376e-03	5.019928837467e+01
188	3	38	8.350000000000e-03	4.775220833456e+00	5.243008380698e-04	-8.333523182376e-03	5.019928837477e+01
189	3	39	8.350000000000e-03	4.900884539600e+00	1.564633976791e-03	-8.202098543585e-03	5.020253842006e+01
190	3	40	8.350000000000e-03	5.026548245744e+00	2.580291903031e-03	-7.941321911065e-03	5.020901174020e+01
191	3	41	8.350000000000e-03	5.152211951887e+00	3.555257084568e-03	-7.555305888091e-03	5.021865393127e+01
