# Solver: SOR
# RadialSteps: 10
# AngularSteps: 50
# DeltaR: 3.000000000000e-03
# DeltaTheta: 1.256637061436e-01
# Tolerance: 1.000000000000e-10
# MaximumIterations: 250000
# Iterations: 8596
# Converged: True
# ResidualNorm: 1.421897435856e-07
# Omega: 1.800000
# UnifiedIndex	RadialIndex	AngularIndex	Radius	Theta	X	Y	Temperature
15	0	15	2.000000000000e-02	1.884955592154e+00	-6.180339887499e-03	1.902113032590e-02	1.143116689812e+02
16	0	16	2.000000000000e-02	2.010619298297e+00	-8.515585831301e-03	1.809654104932e-02	1.140485305029e+02
17	0	17	2.000000000000e-02	2.136283004441e+00	-1.071653589958e-02	1.688655851004e-02	1.137076067056e+02
18	0	18	2.000000000000e-02	2.261946710585e+00	-1.274847979497e-02	1.541026485552e-02	1.132971009241e+02
19	0	19	2.000000000000e-02	2.387610416728e+00	-1.457937254843e-02	1.369094211857e-02	1.128268726023e+02
20	0	20	2.000000000000e-02	2.513274122872e+00	-1.618033988750e-02	1.175570504585e-02	1.123081547156e+02
21	0	21	2.000000000000e-02	2.638937829015e+00	-1.752613360088e-02	9.635073482034e-03	1.117531961382e+02
22	0	22	2.000000000000e-02	2.764601535159e+00	-1.859552971777e-02	7.362491053694e-03	1.111748234851e+02
23	0	23	2.000000000000e-02	2.890265241303e+00	-1.937166322257e-02	4.973797743297e-03	1.105859260145e+02
24	0	24	2.000000000000e-02	3.015928947446e+00	-1.984229402629e-02	2.506664671286e-03	1.099988872365e+02
25	0	25	2.000000000000e-02	3.141592653590e+00	-2.000000000000e-02	-6.432490598707e-18	1.094250197288e+02
26	0	26	2.000000000000e-02	3.267256359733e+00	-1.984229402629e-02	-2.506664671286e-03	1.088740963611e+02
27	0	27	2.000000000000e-02	3.392920065877e+00	-1.937166322257e-02	-4.973797743297e-03	1.083540828877e+02
28	0	28	2.000000000000e-02	3.518583772021e+00	-1.859552971777e-02	-7.362491053694e-03	1.078711256063e+02
